OrderID,OrderDate,StoreCity,SalesChannel,CustomerID,CustomerName,Gender,ProductID,Category,SubBrand,SKU,Quantity,UnitPrice,Discount,TotalSales,CostPrice,GrossProfit,WarrantyMonths,ReturnFlag,PaymentMode
GLM100000,15-08-2024,Ahmedabad,Store,CUST1155,Keya Borah,F,WCH143,Smart,Glimmer Smart,SKU-8358,3,123326.48,0.18,303383.14,75218.67,77727.13,24,Yes,UPI
GLM100001,01-11-2024,Mumbai,Online,CUST1962,Madhup Bhatt,M,WCH1,Women,Glimmer Smart,SKU-2215,2,127920.52,0.07,237932.17,81578.89,74774.39,6,No,Credit Card
GLM100002,28-11-2020,Chennai,Online,CUST2896,Aaina Setty,F,WCH185,Men,Glimmer Smart,SKU-5889,3,63899.78,0.19,155276.47,43275.89,25448.8,6,No,NetBanking
GLM100003,22-09-2024,Ahmedabad,Online,CUST1321,Nayantara Saha,M,WCH144,Women,Glimmer Sport,SKU-9947,1,48379.43,0.08,44509.08,31834.26,12674.82,6,No,UPI
GLM100004,27-01-2022,Delhi,Online,CUST549,Devansh Sandal,F,WCH63,Smart,Glimmer Smart,SKU-4504,3,73557.75,0.13,191985.73,45545.27,55349.92,6,No,UPI
GLM100005,30-01-2024,Delhi,Store,CUST497,Kartik Date,F,WCH84,Women,Glimmer Classic,SKU-2018,1,53862.23,0.06,50630.5,38336.51,12293.99,12,No,NetBanking
GLM100006,18-03-2021,Chennai,Store,CUST2451,Shayak Randhawa,F,WCH117,Kids,Glimmer Luxe,SKU-3151,2,30857.11,0.09,56159.94,22865.48,10428.98,6,No,Cash
GLM100007,07-01-2021,Bengaluru,Online,CUST2796,Hansh Hora,F,WCH128,Smart,Glimmer Classic,SKU-3462,2,69816.63,0.07,129858.93,47541.98,34774.97,12,No,Debit Card
GLM100008,27-02-2022,Delhi,Online,CUST439,Divit Dash,M,WCH103,Men,Glimmer Classic,SKU-8371,2,106387.35,0.08,195752.72,77700.64,40351.44,24,No,Credit Card
GLM100009,12-02-2024,Chennai,Online,CUST839,Hansh Sachar,F,WCH182,Smart,Glimmer Sport,SKU-8605,2,131644.15,0.11,234326.59,97956.03,38414.53,24,No,NetBanking
GLM100010,21-01-2023,Ahmedabad,Store,CUST657,Indrans Devi,F,WCH151,Men,Glimmer Smart,SKU-3121,3,12896.54,0.14,33273.07,9199.44,5674.75,6,No,UPI
GLM100011,16-08-2018,Ahmedabad,Store,CUST2347,Arhaan Dayal,F,WCH134,Kids,Glimmer Luxe,SKU-3210,2,51855.7,0.01,102674.29,35463.44,31747.41,6,No,NetBanking
GLM100012,23-11-2022,Kolkata,Online,CUST519,Shayak Dey,M,WCH172,Smart,Glimmer Sport,SKU-7500,3,28286.38,0.08,78070.41,18300.01,23170.38,12,No,NetBanking
