OrderID,OrderDate,ProductID,ProductName,SKU,CustomerName,Region,Category,SubCategory,SalesChannel,Quantity,UnitPrice,Discount,TotalSales,EstimatedCost,EstimatedProfit
ORD100000,2017-09-09,PRD5554,Furniture Max,SKU-67224,Dhruv Ganesh,Chandigarh,Home & Kitchen,Furniture,Store,4,279.33,0.23,860.34,159.56,368.89
ORD100001,2023-12-31,PRD3188,Makeup Max,SKU-87339,Hiran Keer,Goa,Beauty,Makeup,Online,7,265.59,0.25,1394.35,106.99,832.65
ORD100002,2021-08-25,PRD3658,Men Elite,SKU-49823,Jivin Goswami,Andhra Pradesh,Clothing,Men,Store,10,227.4,0.01,2251.26,98.43,1276.8
ORD100003,2018-10-22,PRD8993,Kids Max,SKU-79125,Rhea Taneja,Tripura,Clothing,Kids,Store,6,494.2,0.23,2283.2,253.46,1112.22
ORD100004,2016-01-26,PRD5037,Team Sports Go,SKU-84777,Rati Srivastava,Delhi,Sports,Team Sports,Online,1,177.5,0.23,136.68,113.87,49.0
ORD100005,2015-07-12,PRD6281,Accessories Go,SKU-60633,Jhanvi Lall,Rajasthan,Electronics,Accessories,Online,4,276.3,0.06,1038.89,220.63,209.32
ORD100006,2022-12-11,PRD2917,Fitness Max,SKU-59270,Miraya Mall,Meghalaya,Sports,Fitness,Online,10,236.13,0.29,1676.52,122.78,804.78
ORD100007,2015-04-09,PRD6999,Women Elite,SKU-56348,Jayant Gill,Nagaland,Clothing,Women,Online,1,370.97,0.25,278.23,171.24,149.8
ORD100008,2017-05-26,PRD5810,Women Go,SKU-18775,Trisha Sem,Gujarat,Clothing,Women,Store,10,79.57,0.07,740.0,39.22,375.25
ORD100009,2024-12-17,PRD8310,Outdoor Pro,SKU-94442,Shaan Malhotra,Odisha,Sports,Outdoor,Store,10,379.41,0.25,2845.58,198.28,1358.48
ORD100010,2016-05-11,PRD2746,Phones Go,SKU-61970,Charvi Gill,Rajasthan,Electronics,Phones,Store,10,306.26,0.03,2970.72,167.89,1342.19
ORD100011,2015-12-31,PRD5097,Haircare Plus,SKU-80848,Bhamini Chanda,Jammu and Kashmir,Beauty,Haircare,Store,5,418.68,0.15,1779.39,235.99,776.43
ORD100012,2020-01-01,PRD5664,Furniture Go,SKU-45115,Rasha Lala,Tripura,Home & Kitchen,Furniture,Store,8,93.69,0.02,734.53,64.23,230.97
ORD100013,2016-07-03,PRD1509,Furniture Max,SKU-59640,Ishaan Dara,Goa,Home & Kitchen,Furniture,Online,6,105.24,0.27,460.95,44.49,266.08
ORD100014,2021-07-16,PRD10701,Outdoor Max,SKU-29516,Aarna Lala,Chhattisgarh,Sports,Outdoor,Store,10,460.61,0.01,4560.04,193.21,2647.26
ORD100015,2018-12-18,PRD9359,Haircare Pro,SKU-93132,Kabir Keer,Sikkim,Beauty,Haircare,Store,10,169.67,0.3,1187.69,77.65,644.14
ORD100016,2020-03-24,PRD1188,Decor Max,SKU-60839,Miraan Shanker,Tripura,Home & Kitchen,Decor,Store,10,173.86,0.06,1634.28,71.14,965.57
ORD100017,2017-12-26,PRD8616,Men Go,SKU-13554,Adira Wali,Manipur,Clothing,Men,Store,2,17.82,0.16,29.94,7.46,17.4
ORD100018,2022-10-02,PRD4482,Makeup Plus,SKU-25820,Akarsh Bansal,Madhya Pradesh,Beauty,Makeup,Online,6,459.92,0.02,2704.33,352.99,628.75
ORD100019,2022-03-06,PRD9469,Haircare Elite,SKU-53453,Hrishita Cheema,Gujarat,Beauty,Haircare,Store,1,359.59,0.22,280.48,234.31,97.72
ORD100020,2021-03-14,PRD7657,Men Elite,SKU-26986,Kanav Desai,Maharashtra,Clothing,Men,Store,7,101.46,0.17,589.48,74.21,158.32
ORD100021,2024-10-09,PRD2613,Furniture Go,SKU-45649,Renee Konda,Rajasthan,Home & Kitchen,Furniture,Store,8,90.35,0.02,708.34,63.79,208.23
ORD100022,2019-12-17,PRD4648,Men Elite,SKU-14030,Azad Saha,Meghalaya,Clothing,Men,Online,6,335.4,0.06,1891.66,247.12,497.9
ORD100023,2018-08-21,PRD2481,Women Pro,SKU-59967,Purab Bhatti,Mizoram,Clothing,Women,Store,9,239.61,0.27,1574.24,156.6,545.38
ORD100024,2018-07-09,PRD2694,Haircare Max,SKU-56496,Shalv Contractor,Puducherry,Beauty,Haircare,Online,8,439.94,0.2,2815.62,296.44,918.4
ORD100025,2015-02-25,PRD10675,Skincare X,SKU-28775,Ishita Ahuja,Chandigarh,Beauty,Skincare,Store,6,498.65,0.1,2692.71,323.9,943.65
ORD100026,2017-07-07,PRD10584,Women Pro,SKU-97608,Hiran Dayal,Nagaland,Clothing,Women,Online,10,127.69,0.2,1021.52,78.87,390.56
ORD100027,2025-06-03,PRD2879,Haircare Go,SKU-88141,Miraya Kanda,Gujarat,Beauty,Haircare,Store,4,409.82,0.2,1311.42,317.16,296.51
ORD100028,2022-04-25,PRD1653,Accessories Pro,SKU-88361,Hunar Dora,Kerala,Electronics,Accessories,Store,3,462.09,0.25,1039.7,346.21,260.73
ORD100029,2016-12-03,PRD6609,Team Sports Plus,SKU-50904,Oorja Salvi,Meghalaya,Sports,Team Sports,Store,3,243.15,0.25,547.09,106.34,307.82
ORD100030,2017-07-18,PRD9175,Haircare Plus,SKU-25850,Mohanlal Cherian,West Bengal,Beauty,Haircare,Store,1,73.99,0.14,63.63,42.74,26.87
ORD100031,2016-07-20,PRD10937,Makeup Plus,SKU-28875,Alia Rana,Gujarat,Beauty,Makeup,Store,1,458.93,0.12,403.86,284.21,153.75
ORD100032,2016-10-01,PRD2418,Appliances Max,SKU-36589,Hunar Bora,Bihar,Home & Kitchen,Appliances,Online,5,271.08,0.07,1260.52,130.48,653.79
ORD100033,2024-07-15,PRD2030,Laptops Max,SKU-72440,Kiaan Bakshi,Uttar Pradesh,Electronics,Laptops,Online,5,50.1,0.27,182.87,27.51,82.45
ORD100034,2018-04-23,PRD10563,Kids Elite,SKU-42739,Abram Chaudhuri,Bihar,Clothing,Kids,Online,6,110.38,0.21,523.2,86.65,112.48
ORD100035,2021-02-15,PRD5698,Fitness X,SKU-50390,Sara Rajagopalan,Puducherry,Sports,Fitness,Store,3,139.15,0.02,409.1,79.05,176.69
ORD100036,2019-10-25,PRD8802,Laptops Max,SKU-35994,Jayesh Chahal,Bihar,Electronics,Laptops,Store,2,168.82,0.2,270.11,80.66,141.06
ORD100037,2024-01-10,PRD10866,Kids Max,SKU-69598,Aradhya Dubey,Punjab,Clothing,Kids,Online,4,283.27,0.04,1087.76,122.49,617.4
ORD100038,2022-04-16,PRD1276,Haircare Pro,SKU-66552,Jiya Zacharia,Haryana,Beauty,Haircare,Online,6,416.22,0.29,1773.1,222.52,825.16
ORD100039,2019-07-21,PRD2363,Laptops Elite,SKU-91715,Kavya Kapoor,Nagaland,Electronics,Laptops,Store,6,249.08,0.14,1285.25,143.35,545.57
ORD100040,2022-09-15,PRD9563,Makeup Plus,SKU-57463,Tejas Ahluwalia,Bihar,Beauty,Makeup,Online,10,170.45,0.22,1329.51,71.58,771.19
ORD100041,2019-05-29,PRD7511,Fitness Elite,SKU-28148,Sumer Sarma,Goa,Sports,Fitness,Store,6,36.9,0.12,194.83,22.38,76.67
ORD100042,2023-02-24,PRD7876,Makeup Max,SKU-30270,Pranay Bali,Mizoram,Beauty,Makeup,Store,6,410.19,0.28,1772.02,182.28,984.57
ORD100043,2022-09-13,PRD3389,Outdoor Elite,SKU-21620,Mahika Keer,Telangana,Sports,Outdoor,Store,5,44.85,0.08,206.31,32.64,56.17
ORD100044,2025-07-09,PRD10454,Appliances Go,SKU-22367,Nishith Bose,Jammu and Kashmir,Home & Kitchen,Appliances,Online,2,305.04,0.08,561.27,132.34,317.77
ORD100045,2018-02-12,PRD2281,Skincare Max,SKU-70915,Chirag Garg,Punjab,Beauty,Skincare,Store,5,346.75,0.23,1334.99,139.99,796.03
ORD100046,2024-03-25,PRD4445,Women Plus,SKU-75072,Anaya Varughese,Jharkhand,Clothing,Women,Online,2,349.42,0.17,580.04,198.7,250.2
ORD100047,2022-10-28,PRD2706,Outdoor Go,SKU-15312,Anvi Lala,Kerala,Sports,Outdoor,Store,3,356.56,0.06,1005.5,193.18,460.73
ORD100048,2022-10-18,PRD5689,Furniture Elite,SKU-48861,Alisha Viswanathan,Uttar Pradesh,Home & Kitchen,Furniture,Online,9,86.66,0.2,623.95,57.92,206.93
ORD100049,2016-02-07,PRD10330,Team Sports Elite,SKU-56212,Elakshi Rana,Kerala,Sports,Team Sports,Store,2,293.37,0.14,504.6,190.4,177.11
ORD100050,2018-11-11,PRD6268,Fitness Go,SKU-76042,Mamooty Tailor,Gujarat,Sports,Fitness,Online,5,221.87,0.27,809.83,167.07,200.02
